num	mean	min	q25	q50	q75	max
384	37	2	35	37	41	41
385	38	26	35	39	41	41
386	37	2	35	38	40	41
387	38	31	37	40	41	41
388	29	2	27	33	36	40
389	36	26	35	37	39	41
390	35	2	35	36	39	41
391	37	30	35	37	41	41
392	34	2	33	35	39	41
393	36	24	35	35	40	41
394	34	2	34	36	38	40
395	38	32	36	40	41	41
396	37	2	35	39	41	41
397	34	21	32	35	38	41
398	34	2	32	35	39	41
399	37	32	35	37	41	41
400	37	2	35	38	40	41
401	37	29	35	37	40	41
402	37	2	36	40	40	40
403	37	32	35	37	41	41
404	37	2	35	40	41	41
405	32	12	30	33	36	40
406	38	2	38	40	41	41
407	37	31	35	37	41	41
408	34	2	32	36	37	40
409	38	30	36	39	41	41
410	36	2	35	36	40	41
411	28	2	25	31	38	40
412	35	2	34	37	40	41
413	34	8	31	35	38	41
414	38	2	36	40	41	41
415	37	25	35	38	40	41
416	37	2	35	39	41	41
417	36	20	34	35	39	41
418	38	2	36	39	41	41
419	37	30	35	37	40	41
420	32	2	29	34	37	40
421	25	2	7	33	38	41
422	37	2	35	38	41	41
423	36	25	35	37	39	41
424	34	2	34	36	40	41
425	27	5	23	30	34	40
426	36	2	35	38	40	41
427	34	18	32	35	38	40
428	37	2	36	39	41	41
429	32	2	32	37	40	41
430	37	2	35	39	41	41
431	30	7	28	32	36	40
432	36	27	35	35	40	41
433	37	2	35	39	41	41
434	29	2	27	33	35	40
435	36	21	34	37	40	41
436	37	2	36	39	40	40
437	32	7	31	34	35	41
438	37	2	35	39	40	41
439	35	19	34	37	39	40
440	37	2	35	39	41	41
441	37	20	35	38	41	41
442	36	2	35	36	39	41
443	36	2	34	37	40	41
444	28	2	24	34	37	41
445	36	2	35	37	40	41
446	38	2	37	40	41	41
447	38	28	37	40	41	41
448	35	2	34	37	40	41
449	38	33	35	39	41	41
450	37	2	37	39	41	41
451	37	2	35	39	41	41
